genome_id	pgs	matched	height_cm	sex
10020.23andme.8283	-3.957010	8364	180.3	M
10036.ancestry.8300	-1.532599	15799	169.0	M
10074.23andme.8335	-2.754623	8645	157.5	F
10077.23andme.8336	-0.405784	8643	170.2	F
10092.23andme.8351	-2.734353	12567	180.0	
10093.ancestry.8353	-5.227462	15943	182.9	M
10097.ancestry.8358	-1.157033	16532	160.0	F
1010.23andme.502	-0.619862	12164	182.9	M
10171.23andme.8436	-2.655252	8320	170.2	M
10191.23andme.8455	-2.724000	8370	182.0	
10195.23andme.9040	-1.602448	8661	170.2	F
1020.23andme.507	-2.995287	17309	172.7	M
10207.23andme.8472	-5.022178	8286	175.0	
1022.23andme.508	0.816428	16992	190.0	
10233.23andme.8494	-2.393383	8328	167.6	
10251.23andme.8511	3.391608	17619	173.0	
10260.ancestry.8525	-0.134160	16512	162.6	F
10279.23andme.8537	-2.752514	8649	179.0	F
1029.23andme.515	4.543473	17534	162.6	F
10302.23andme.8558	-0.730521	8664	172.7	
10325.23andme.8580	-5.928880	8600	160.0	
1033.23andme.567	1.554392	17036	190.5	
10347.23andme.8604	-2.627837	8589	175.0	M
10348.23andme.8605	3.252478	11631	190.5	
1035.ancestry.518	1.269832	14210	167.6	F
10374.23andme.8624	-0.778319	17520	175.3	F
1038.23andme.520	0.208749	17553	162.6	F
10383.ancestry.8633	-0.471420	15943	182.0	M
1039.23andme.521	3.654361	17008	183.0	M
1040.23andme.522	-3.149451	16993	177.8	
10408.23andme.8659	-1.312515	13026	167.6	F
10424.ancestry.8695	-1.766783	10118	168.9	F
10430.ancestry.8694	-0.229263	16535	157.5	F
10448.ancestry.8721	-1.071720	10393	160.0	F
1046.23andme.527	-1.483641	16978	175.3	
10469.23andme.8739	-2.613130	8585	162.6	F
10490.ancestry.8762	-2.822688	16532	155.0	F
10508.ancestry.8779	-0.043309	13803	161.3	F
10523.23andme.8790	-4.688384	8346	156.2	M
10530.ancestry.8795	1.276791	15939	186.0	M
10542.23andme.8804	-3.045636	13029	176.0	
10559.23andme.8819	-2.119316	8380	165.1	
10575.ftdna-illumina.8844	-4.942423	9212	165.0	F
1058.23andme.533	1.570853	17399	165.1	
10586.ancestry.8852	-2.501748	15944	180.3	M
1059.23andme.535	0.492296	13605	182.9	M
1060.23andme.536	1.105484	16928	190.5	M
10620.23andme.8876	-2.598536	8676	157.5	
1063.23andme.540	3.147119	17010	190.5	
10632.23andme.9278	0.197321	17329	165.0	M
10635.ancestry.8887	-0.241025	16265	162.6	F
10653.ancestry.8900	-2.378961	16540	157.5	
10702.23andme.8901	-4.730753	8670	165.1	
1071.23andme.552	1.679696	17881	180.0	M
1074.ancestry.549	-2.847018	14047	165.1	
1075.23andme.550	0.863056	17544	157.5	F
1077.23andme.551	-1.315854	16940	185.4	M
10773.ancestry.8921	1.375489	15946	190.5	
1078.ancestry.553	-3.440115	14197	162.6	
10785.ancestry.8929	-2.395019	16521	167.6	F
10790.ancestry.8933	-4.673610	15943	172.7	M
1080.23andme.555	-0.876076	17851	167.6	
1081.23andme.556	0.000000	0	162.6	
1085.23andme.557	0.321625	16912	178.0	
10868.23andme.8976	-3.147647	8684	149.9	F
10881.ftdna-illumina.8993	-0.501439	13229	183.0	M
10883.ftdna-illumina.8995	-1.220219	10092	190.0	M
10885.23andme.8998	0.732800	8372	183.0	M
1089.23andme.559	1.535476	17539	170.2	F
10919.23andme.9022	-6.515518	8310	185.0	
10936.23andme.9481	5.407763	28936	160.0	M
10962.ancestry.9067	0.721772	16209	160.0	F
10967.23andme.9086	-3.099434	8688	167.6	F
10977.ancestry.9130	-0.188745	14037	175.3	F
10984.ancestry.9103	-0.846538	15937	182.9	
1100.23andme.606	-1.178075	17100	179.0	M
11015.23andme.9135	-1.955790	13027	157.5	F
1103.23andme.565	-1.394742	17577	167.6	
1104.23andme.2221	-0.605075	17504	157.5	
11053.ancestry.9166	1.887214	15948	180.3	M
11069.ancestry.9182	1.980059	16216	152.4	F
11076.23andme.9189	-2.067179	13018	160.0	F
1112.23andme.573	3.467525	17049	183.0	
11135.ancestry.9241	-3.962650	16477	165.1	F
1114.23andme.574	3.712722	16883	193.0	M
11143.ftdna-illumina.9248	-4.823217	9199	165.0	F
1121.23andme.578	1.404779	17530	157.5	
1125.23andme.582	-1.914274	17026	182.9	M
1131.23andme.585	4.431734	17644	170.2	
1133.23andme.587	4.040101	17071	192.0	
11388.23andme.9322	-7.233830	8624	147.3	
11396.ancestry.9318	-0.042025	16255	172.7	F
11397.ancestry.9319	0.803580	16531	162.6	F
11425.23andme.9343	-1.055288	8672	167.6	F
11432.23andme.9349	-4.914177	8595	177.0	M
11441.23andme.9360	-6.160310	8646	162.6	F
11458.ancestry.9377	0.148623	16265	155.0	
1147.23andme.598	-0.264379	17015	170.2	M
11493.23andme.9389	-3.251123	13014	157.5	
11499.ancestry.9392	0.484654	10826	155.0	F
11519.ancestry.9411	-1.512402	13934	157.5	
11520.ancestry.9414	0.000000	0	165.1	
11525.ftdna-illumina.9417	-4.796461	9926	173.0	
11526.ancestry.9602	-3.786785	15927	162.6	F
11528.ancestry.9419	-0.358240	15925	190.5	M
11531.23andme.9422	0.438011	12601	185.4	M
11562.ancestry.9452	-2.000233	15938	190.5	M
11584.ancestry.9471	-2.031148	16236	155.0	F
