genome_id	height_cm	sex
12562.23andme.10376	185.4	M
12546.23andme.10363	178.0	M
12496.23andme.10307	167.6	M
12490.23andme.10301	152.4	
12302.ftdna-illumina.10290	177.0	M
12387.23andme-exome-vcf.10222	157.5	F
12324.ftdna-illumina.10159	185.0	M
12299.23andme.10131	157.5	F
12289.ancestry.10122	188.0	M
12272.23andme.10107	152.4	
12258.23andme.10097	164.0	M
12246.ancestry.10089	169.0	F
12235.23andme.10082	180.3	
12214.ancestry.10061	178.0	M
12211.23andme-exome-vcf.10058	172.7	M
12026.23andme.9886	167.6	
12010.23andme.9873	183.0	F
11985.ancestry.9850	174.0	M
11944.ftdna-illumina.9815	152.4	F
11935.23andme.9807	172.7	
11931.ancestry.9804	181.0	M
11900.23andme.9773	175.0	
11890.ancestry.9769	157.5	
11878.23andme.9758	170.2	F
11875.23andme.9756	167.0	
11868.23andme.9747	172.7	
11851.ancestry.9734	177.8	
11819.23andme.9702	173.0	F
11814.ancestry.9700	157.5	
11802.23andme.9696	168.0	M
11795.ancestry.9692	165.1	F
11753.ancestry.9654	185.4	F
11744.23andme-exome-vcf.9648	185.0	M
11739.ftdna-illumina.9641	181.0	M
11698.23andme.9613	175.0	
11526.ancestry.9602	162.6	F
11641.ftdna-illumina.9569	181.0	M
10936.23andme.9481	160.0	M
11584.ancestry.9471	155.0	F
11562.ancestry.9452	190.5	M
1378.23andme.9427	172.7	F
11531.23andme.9422	185.4	M
11528.ancestry.9419	190.5	M
11525.ftdna-illumina.9417	173.0	
11520.ancestry.9414	165.1	
11519.ancestry.9411	157.5	
11515.23andme.9407	177.8	F
11499.ancestry.9392	155.0	F
11493.23andme.9389	157.5	
11458.ancestry.9377	155.0	
11441.23andme.9360	162.6	F
11432.23andme.9349	177.0	M
11425.23andme.9343	167.6	F
11173.23andme.9325	160.0	
11388.23andme.9322	147.3	
11397.ancestry.9319	162.6	F
11396.ancestry.9318	172.7	F
10632.23andme.9278	165.0	M
11143.ftdna-illumina.9248	165.0	F
11135.ancestry.9241	165.1	F
11076.23andme.9189	160.0	F
11069.ancestry.9182	152.4	F
11053.ancestry.9166	180.3	M
11015.23andme.9135	157.5	F
10977.ancestry.9130	175.3	F
10984.ancestry.9103	182.9	
10967.23andme.9086	167.6	F
10962.ancestry.9067	160.0	F
10948.23andme.9051	150.0	F
10195.23andme.9040	170.2	F
10919.23andme.9022	185.0	
10885.23andme.8998	183.0	M
10883.ftdna-illumina.8995	190.0	M
10881.ftdna-illumina.8993	183.0	M
10868.23andme.8976	149.9	F
10790.ancestry.8933	172.7	M
10785.ancestry.8929	167.6	F
10773.ancestry.8921	190.5	
10770.23andme.8917	167.6	F
10702.23andme.8901	165.1	
10653.ancestry.8900	157.5	
10635.ancestry.8887	162.6	F
10620.23andme.8876	157.5	
10586.ancestry.8852	180.3	M
10575.ftdna-illumina.8844	165.0	F
10559.23andme.8819	165.1	
10542.23andme.8804	176.0	
10530.ancestry.8795	186.0	M
10523.23andme.8790	156.2	M
10508.ancestry.8779	161.3	F
10490.ancestry.8762	155.0	F
10469.23andme.8739	162.6	F
10448.ancestry.8721	160.0	F
10424.ancestry.8695	168.9	F
10430.ancestry.8694	157.5	F
10408.23andme.8659	167.6	F
9360.23andme.8649	160.0	
10383.ancestry.8633	182.0	M
10374.23andme.8624	175.3	F
10348.23andme.8605	190.5	
10347.23andme.8604	175.0	M
9195.23andme.8585	169.0	M
10325.23andme.8580	160.0	
10302.23andme.8558	172.7	
9702.23andme.8548	149.9	F
10279.23andme.8537	179.0	F
10260.ancestry.8525	162.6	F
10251.23andme.8511	173.0	
10233.23andme.8494	167.6	
10207.23andme.8472	175.0	
10191.23andme.8455	182.0	
10171.23andme.8436	170.2	M
10097.ancestry.8358	160.0	F
9817.23andme.8354	195.0	
10093.ancestry.8353	182.9	M
10092.23andme.8351	180.0	
10077.23andme.8336	170.2	F
10074.23andme.8335	157.5	F
