pgs_id	super_pop	n_samples	n_snps	mean	sd
AF	AFR	661	1154520	0.0637926	0.522738
AF	AMR	347	1154520	-0.403185	0.573957
AF	EAS	504	1154520	0.457518	0.573075
AF	EUR	503	1154520	-0.506242	0.621742
AF	SAS	489	1154520	-0.295018	0.64617
AF	ALL	2504	1154520	-0.106251	0.682271
ASTHMA	AFR	661	1154520	0.311088	0.389395
ASTHMA	AMR	347	1154520	0.425252	0.423128
ASTHMA	EAS	504	1154520	0.408217	0.408426
ASTHMA	EUR	503	1154520	0.306011	0.473208
ASTHMA	SAS	489	1154520	0.311129	0.427422
ASTHMA	ALL	2504	1154520	0.345447	0.425808
BMD	AFR	661	1154520	0.000475218	0.000266251
BMD	AMR	347	1154520	0.000773058	0.000261928
BMD	EAS	504	1154520	0.000580651	0.000243891
BMD	EUR	503	1154520	0.000790101	0.00023119
BMD	SAS	489	1154520	0.000652288	0.000245152
BMD	ALL	2504	1154520	0.000635546	0.000278278
COGNITION	AFR	661	1154520	-0.0243686	0.00787762
COGNITION	AMR	347	1154520	-0.00448346	0.0121121
COGNITION	EAS	504	1154520	0.000392024	0.0106499
COGNITION	EUR	503	1154520	0.0047506	0.0119658
COGNITION	SAS	489	1154520	0.0044033	0.0117754
COGNITION	ALL	2504	1154520	-0.00516095	0.0160156
EA4	AFR	661	1154520	-0.99337	0.226721
EA4	AMR	347	1154520	-0.179707	0.304058
EA4	EAS	504	1154520	-0.0108785	0.275897
EA4	EUR	503	1154520	0.12272	0.321372
EA4	SAS	489	1154520	0.0177041	0.302445
EA4	ALL	2504	1154520	-0.261211	0.529246
PGS000004	AFR	661	304	0.100875	0.551159
PGS000004	AMR	347	304	-0.256492	0.650769
PGS000004	EAS	504	304	-0.00593532	0.554248
PGS000004	EUR	503	304	-0.552445	0.592549
PGS000004	SAS	489	304	-0.423515	0.59087
PGS000004	ALL	2504	304	-0.203792	0.636792
PGS000024	AFR	661	13	0.335347	0.323958
PGS000024	AMR	347	13	0.423163	0.376751
PGS000024	EAS	504	13	0.639016	0.302538
PGS000024	EUR	503	13	0.480481	0.394039
PGS000024	SAS	489	13	0.358867	0.368441
PGS000024	ALL	2504	13	0.442386	0.368525
PGS000657	AFR	661	3473	-0.409913	0.162374
PGS000657	AMR	347	3473	-0.27275	0.177886
PGS000657	EAS	504	3473	-0.260038	0.159311
PGS000657	EUR	503	3473	-0.277102	0.172728
PGS000657	SAS	489	3473	-0.366284	0.174722
PGS000657	ALL	2504	3473	-0.325539	0.179689
PGS000883	AFR	661	1477661	1.98177	0.177995
PGS000883	AMR	347	1477661	1.53922	0.27425
PGS000883	EAS	504	1477661	1.64991	0.197626
PGS000883	EUR	503	1477661	1.69009	0.24221
PGS000883	SAS	489	1477661	1.68481	0.216699
PGS000883	ALL	2504	1477661	1.73706	0.266961
PGS001787	AFR	661	909990	-0.919086	0.12156
PGS001787	AMR	347	909990	-0.957105	0.16586
PGS001787	EAS	504	909990	-1.09055	0.173983
PGS001787	EUR	503	909990	-1.04581	0.144999
PGS001787	SAS	489	909990	-0.991428	0.153688
PGS001787	ALL	2504	909990	-0.998451	0.163318
PGS002148	AFR	661	932197	-0.0470316	0.0402898
PGS002148	AMR	347	932197	0.0216261	0.0522105
PGS002148	EAS	504	932197	0.0816005	0.0444984
PGS002148	EUR	503	932197	0.0556566	0.0526619
PGS002148	SAS	489	932197	0.0662084	0.0524296
PGS002148	ALL	2504	932197	0.0311159	0.0692457
PGS002154	AFR	661	806011	0.0793667	0.0498693
PGS002154	AMR	347	806011	0.0246599	0.0666455
PGS002154	EAS	504	806011	-0.0427946	0.0576782
PGS002154	EUR	503	806011	0.0182959	0.0671291
PGS002154	SAS	489	806011	0.0086979	0.0662048
PGS002154	ALL	2504	806011	0.0211286	0.0738148
PGS002313	AFR	661	1109311	-0.745303	0.271624
PGS002313	AMR	347	1109311	-0.823915	0.334624
PGS002313	EAS	504	1109311	-0.82147	0.288832
PGS002313	EUR	503	1109311	-0.963871	0.317268
PGS002313	SAS	489	1109311	-0.916208	0.315864
PGS002313	ALL	2504	1109311	-0.848809	0.312972
PGS002724	AFR	661	1212519	-773966	278323
PGS002724	AMR	347	1212519	-1.55819e+06	474774
PGS002724	EAS	504	1212519	-758035	288138
PGS002724	EUR	503	1212519	-2.19678e+06	323806
PGS002724	SAS	489	1212519	-1.70281e+06	330408
PGS002724	ALL	2504	1212519	-1.34664e+06	665718
PGS002746	AFR	661	85482	-151.035	21.9442
PGS002746	AMR	347	85482	-192.053	35.0863
PGS002746	EAS	504	85482	-182.309	24.9837
PGS002746	EUR	503	85482	-230.63	32.5849
PGS002746	SAS	489	85482	-205.185	29.5651
PGS002746	ALL	2504	85482	-189.578	39.95
PGS002785	AFR	661	761541	0.683604	0.160884
PGS002785	AMR	347	761541	0.383602	0.268351
PGS002785	EAS	504	761541	0.564081	0.180986
PGS002785	EUR	503	761541	-0.0062902	0.215848
PGS002785	SAS	489	761541	0.497213	0.195104
PGS002785	ALL	2504	761541	0.442988	0.316223
PGS002786	AFR	661	748830	0.381124	0.106625
PGS002786	AMR	347	748830	0.331017	0.151487
PGS002786	EAS	504	748830	0.301809	0.126038
PGS002786	EUR	503	748830	0.140493	0.156418
PGS002786	SAS	489	748830	0.223912	0.146193
PGS002786	ALL	2504	748830	0.279177	0.161612
PGS002804	AFR	661	1092677	-6.19553	1.008
PGS002804	AMR	347	1092677	0.463278	1.27727
PGS002804	EAS	504	1092677	-1.01477	0.64993
PGS002804	EUR	503	1092677	3.65265	0.869373
PGS002804	SAS	489	1092677	2.10951	0.825622
PGS002804	ALL	2504	1092677	-0.629832	3.79346
PGS003725	AFR	661	1296172	-6.5529	0.540994
PGS003725	AMR	347	1296172	-8.00147	0.731406
PGS003725	EAS	504	1296172	-7.69276	0.61866
PGS003725	EUR	503	1296172	-7.7959	0.729076
PGS003725	SAS	489	1296172	-7.39036	0.727337
PGS003725	ALL	2504	1296172	-7.39631	0.852173
PGS003765	AFR	661	444	32.0464	0.741643
PGS003765	AMR	347	444	30.9455	0.832664
PGS003765	EAS	504	444	30.7477	0.684715
PGS003765	EUR	503	444	30.7954	0.814921
PGS003765	SAS	489	444	31.0327	0.809216
PGS003765	ALL	2504	444	31.1832	0.934565
PGS003850	AFR	661	186	0.987392	0.496048
